               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08651,            0.037301,            0.020723,             0.67265,           0.0015576,           0.0065789,          0.00079077,          7.9077e-05,            0.083535,            0.022925,            0.022874,             0.66509,             0.00188,             0.00188,             0.08308
                   1,            0.070754,             0.02166,            0.019519,             0.51968,                   0,                   0,                   0,                   0,             0.07594,            0.017268,            0.021346,             0.45166,           0.0037514,           0.0037514,            0.066051
                   2,            0.076078,            0.016105,            0.018003,             0.30698,                   0,                   0,                   0,                   0,            0.098563,            0.011089,            0.023203,             0.26722,           0.0055492,           0.0055492,            0.048949
                   3,            0.090452,           0.0096849,            0.016993,              0.2003,                   0,                   0,                   0,                   0,             0.11853,           0.0057172,            0.021427,             0.22508,           0.0072208,           0.0072208,            0.031721
                   4,             0.10246,           0.0067337,            0.017567,             0.18469,                   0,                   0,                   0,                   0,             0.11607,           0.0050425,            0.022021,             0.19406,           0.0087188,           0.0087188,            0.014319
                   5,             0.10246,           0.0056224,            0.017915,             0.17985,                   0,                   0,                   0,                   0,             0.11496,           0.0042901,            0.020855,             0.18937,           0.0088284,           0.0088284,           0.0088284
                   6,             0.10488,           0.0058899,             0.01708,             0.17927,                   0,                   0,                   0,                   0,             0.11545,           0.0040829,            0.021466,             0.18287,           0.0088284,           0.0088284,           0.0088284
                   7,             0.10972,           0.0058367,            0.017948,             0.17912,                   0,                   0,                   0,                   0,              0.1151,           0.0042104,            0.020794,              0.1813,           0.0083511,           0.0083511,           0.0083511
                   8,             0.10545,           0.0064152,            0.017514,             0.17318,                   0,                   0,                   0,                   0,             0.11072,           0.0054319,            0.020496,              0.1807,            0.007816,            0.007816,            0.007816
                   9,             0.10179,           0.0060215,            0.017461,             0.16462,                   0,                   0,                   0,                   0,             0.11218,           0.0047514,            0.020369,             0.17811,           0.0072361,           0.0072361,           0.0072361
                  10,             0.10078,           0.0060974,            0.015865,             0.16095,                   0,                   0,                   0,                   0,             0.11252,           0.0047651,            0.019385,             0.17837,           0.0066257,           0.0066257,           0.0066257
                  11,             0.10291,           0.0057688,            0.015736,             0.16195,                   0,                   0,                   0,                   0,              0.1125,           0.0047365,            0.018571,             0.17665,               0.006,               0.006,               0.006
                  12,             0.10197,            0.005539,            0.014692,             0.16131,                   0,                   0,                   0,                   0,             0.11249,            0.004597,            0.017459,             0.17617,           0.0053743,           0.0053743,           0.0053743
                  13,            0.099644,           0.0052986,            0.014465,             0.15575,                   0,                   0,                   0,                   0,             0.11256,            0.004607,            0.016384,             0.17635,           0.0047639,           0.0047639,           0.0047639
                  14,             0.10263,           0.0054502,            0.013255,             0.16228,                   0,                   0,                   0,                   0,             0.11228,            0.004621,            0.016442,             0.17643,            0.004184,            0.004184,            0.004184
                  15,             0.10503,           0.0059737,             0.01243,             0.16596,                   0,                   0,                   0,                   0,             0.11215,           0.0045767,            0.015386,             0.17649,           0.0036489,           0.0036489,           0.0036489
                  16,             0.10223,           0.0054901,            0.013459,             0.16099,                   0,                   0,                   0,                   0,             0.11207,           0.0045552,            0.014721,             0.17651,           0.0031716,           0.0031716,           0.0031716
                  17,             0.10304,           0.0056757,            0.012106,             0.16243,                   0,                   0,                   0,                   0,             0.11243,           0.0044659,            0.013723,             0.17619,           0.0027639,           0.0027639,           0.0027639
                  18,               0.101,           0.0055703,            0.011497,             0.15817,                   0,                   0,                   0,                   0,             0.11229,           0.0045131,            0.013282,             0.17597,            0.002436,            0.002436,            0.002436
                  19,             0.10588,           0.0054378,            0.011867,             0.16398,                   0,                   0,                   0,                   0,             0.11243,           0.0045266,            0.013074,             0.17577,           0.0021958,           0.0021958,           0.0021958
